,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss,Testing Accuracy,Testing Loss
0,0.49122807017543857,1.351919710636139,0.5333333333333333,0.6246386170387268,0.5,0.6457324624061584
1,0.49122807017543857,1.2405725121498108,0.5333333333333333,0.6322230100631714,0.5,0.6466221213340759
2,0.49122807017543857,1.185287892818451,0.5333333333333333,0.5578476786613464,0.5,0.6073191165924072
3,0.49122807017543857,1.1195225715637207,0.5333333333333333,0.5372026562690735,0.5,0.5954262614250183
4,0.49122807017543857,1.0486557185649872,0.5333333333333333,0.5484867691993713,0.5,0.5917204022407532
5,0.49122807017543857,1.0436623692512512,0.5333333333333333,0.513965904712677,0.5,0.5955201983451843
6,0.49122807017543857,0.9918023645877838,0.5333333333333333,0.5295361876487732,0.5,0.578431248664856
7,0.49122807017543857,0.9804864227771759,0.5333333333333333,0.5162150859832764,0.5,0.5699100494384766
8,0.49122807017543857,0.9351276755332947,0.5333333333333333,0.4819435775279999,0.5,0.5655523538589478
9,0.49122807017543857,0.9018753170967102,0.5333333333333333,0.47352156043052673,0.5,0.5667254328727722
10,0.49122807017543857,0.8859723210334778,0.5333333333333333,0.484515517950058,0.5,0.5503698587417603
11,0.49122807017543857,0.8839483857154846,0.5333333333333333,0.46358156204223633,0.5,0.5660358667373657
12,0.49122807017543857,0.8664115071296692,0.5333333333333333,0.45719489455223083,0.5,0.5448961853981018
13,0.49122807017543857,0.8250245749950409,0.5333333333333333,0.462490051984787,0.5,0.536625325679779
14,0.49122807017543857,0.8217819333076477,0.5333333333333333,0.45642712712287903,0.5,0.5331791639328003
15,0.49122807017543857,0.7763103544712067,0.5333333333333333,0.44515183568000793,0.5,0.5494888424873352
16,0.49122807017543857,0.8023332953453064,0.5333333333333333,0.4534393846988678,0.5,0.5301731824874878
17,0.49122807017543857,0.8048596978187561,0.5333333333333333,0.44491684436798096,0.5,0.5308414101600647
18,0.49122807017543857,0.7851392924785614,0.5333333333333333,0.44133618474006653,0.5,0.5573006272315979
19,0.49122807017543857,0.7751184701919556,0.5333333333333333,0.4404008984565735,0.5,0.5582041144371033
20,0.49122807017543857,0.776999443769455,0.5333333333333333,0.44019272923469543,0.5,0.5275142192840576
21,0.49122807017543857,0.7602195739746094,0.5333333333333333,0.43348491191864014,0.5,0.5416802167892456
22,0.49122807017543857,0.7771300971508026,0.5333333333333333,0.43959566950798035,0.5,0.5633448958396912
23,0.49122807017543857,0.7647599279880524,0.5333333333333333,0.43161600828170776,0.5,0.5443527698516846
24,0.49122807017543857,0.7505459189414978,0.5333333333333333,0.430612176656723,0.5,0.5391709804534912
25,0.49122807017543857,0.7627537846565247,0.5333333333333333,0.4339858889579773,0.5,0.553200900554657
26,0.49122807017543857,0.7419061064720154,0.5333333333333333,0.43563586473464966,0.5,0.526228666305542
27,0.49122807017543857,0.7467182576656342,0.5333333333333333,0.4399358630180359,0.5,0.52425616979599
28,0.49122807017543857,0.7592931389808655,0.5333333333333333,0.4380261301994324,0.5,0.5243262648582458
29,0.49122807017543857,0.7549504637718201,0.5333333333333333,0.4338764548301697,0.5,0.5267397165298462
30,0.49122807017543857,0.7318385243415833,0.5333333333333333,0.4311683773994446,0.5,0.5445554256439209
31,0.49122807017543857,0.7251273095607758,0.5333333333333333,0.43483391404151917,0.5,0.559651255607605
32,0.49122807017543857,0.751399964094162,0.5333333333333333,0.43696674704551697,0.5,0.5647929310798645
33,0.49122807017543857,0.726503849029541,0.5333333333333333,0.4324377179145813,0.5,0.5431461930274963
34,0.49122807017543857,0.7243612706661224,0.5333333333333333,0.43290674686431885,0.5,0.5363988280296326
35,0.49122807017543857,0.7268190383911133,0.5333333333333333,0.46490293741226196,0.5,0.6078135967254639
36,0.49122807017543857,0.761824756860733,0.6,0.4327426254749298,0.5333333333333333,0.5556678175926208
37,0.49122807017543857,0.7482919096946716,0.5333333333333333,0.43396541476249695,0.5,0.5329338312149048
38,0.49122807017543857,0.7481866776943207,0.5333333333333333,0.43568769097328186,0.5,0.5268809199333191
39,0.49122807017543857,0.7398812472820282,0.5333333333333333,0.436820387840271,0.5,0.5250085592269897
40,0.49122807017543857,0.7358378171920776,0.5333333333333333,0.43743765354156494,0.5,0.5614270567893982
41,0.49122807017543857,0.7351520657539368,0.5333333333333333,0.446181982755661,0.5,0.5817072987556458
42,0.7192982456140351,0.7022594511508942,0.9333333333333333,0.3927389085292816,0.8,0.5117227435112
43,1.0,0.6053628325462341,0.9333333333333333,0.35112133622169495,0.8,0.4637381136417389
44,1.0,0.5017059892416,0.9333333333333333,0.33326324820518494,0.8333333333333334,0.44524115324020386
45,1.0,0.4008866101503372,0.9333333333333333,0.2966786026954651,0.8,0.4263972043991089
46,1.0,0.3316238969564438,0.9333333333333333,0.2951081097126007,0.8,0.4226745665073395
47,1.0,0.30272822827100754,0.8,0.3214232623577118,0.8,0.4387036859989166
48,1.0,0.2816776931285858,0.8,0.33929678797721863,0.8333333333333334,0.4491690695285797
49,1.0,0.2665564715862274,0.8,0.3177478015422821,0.8,0.43111535906791687
